column_int,column_float,column_string,column_date,column_👺stamp,column_bool
624,,standardization,2022-03-08,2022-03-13 15:22:11,true
88,212.81,service-desk,2021-04-28,2021-07-10 08:26:16,false
649,662.79,interface,2020-09-24,2023-03-30 14:01:05,false
430,770.12,Triple-buffered,2021-12-01,2020-09-21 20:41:38,true
655,985.02,Grass-roots,2023-05-09,2021-03-11 15:33:33,true
159,483.66,multimedia,,2022-03-05 01:26:05,true
16,277.22,next generation,2023-04-17,2022-01-30 22:28:17,false
671,141.31,,2022-04-04,2022-04-30 06:33:29,false
326,652.69,,2023-02-16,2021-10-06 21:37:38,false
908,756.04,holistic,2022-05-25,2020-11-09 00:58:45,true
,924.77,,2020-10-26,2022-05-07 01:33:37,false
255,469.03,focus group,2022-03-11,2021-07-02 20:06:59,
,496.85,,2020-11-01,2021-10-06 13:19:29,false
701,167.2,Reduced,2021-11-24,2022-06-26 07:31:58,false
666,,Front-line,2022-09-25,2022-12-14 15:55:21,false
263,,,2023-02-09,2021-10-04 12:54:53,false
672,529.88,collaboration,2020-12-07,2022-04-15 16:27:17,false
469,,Programmable,2021-02-27,2021-07-05 00:27:01,false
,921.56,Multi-layered,2022-08-08,2020-08-29 18:54:17,true
454,516.12,Assimilated,2022-01-03,2023-03-06 16:33:21,true
87,,,2023-01-14,2022-04-03 21:38:17,true
,982.44,model,2020-12-09,2021-08-23 03:13:41,false
595,998.47,attitude-oriented,2023-01-08,2022-04-19 11:14:51,
80,204.37,ability,2022-05-04,2022-03-24 06:17:31,
905,544.95,value-added,2021-11-18,2021-09-14 18:02:06,false
40,106.33,web-enabled,2023-07-19,2020-11-29 13:56:53,true
84,872.45,,2021-02-15,2023-05-21 02:45:54,true
822,223.23,hub,2021-05-12,2021-10-06 23:46:22,
525,465.94,,2021-03-27,2020-11-02 11:50:33,true
148,747.33,Optimized,2022-10-05,2022-09-19 06:23:23,false
891,873.16,policy,,2021-06-02 12:58:19,false
,,Horizontal,2021-06-23,2021-10-26 16:19:17,true
611,953.57,,2023-01-06,2022-04-16 12:38:50,false
91,107.14,asymmetric,2022-11-12,2023-03-27 02:34:20,
158,503.63,archive,,2021-02-24 00:40:21,false
168,,Face to face,2021-04-15,2021-08-13 18:15:29,false
255,154.2,,2023-07-20,2020-09-25 02:48:09,true
365,398.92,tertiary,2022-01-24,2021-10-16 03:32:40,false
643,347.42,Programmable,2023-05-13,2023-02-22 04:36:44,false
,406.55,client-driven,2020-11-26,2022-01-13 21:30:35,false
266,392.34,,2021-08-09,2022-01-03 20:00:28,false
931,,Quality-focused,2023-08-06,2021-07-28 17:04:55,
716,,web-enabled,2022-06-10,2022-11-10 06:20:49,false
15,296.89,exuding,2023-04-10,2023-01-26 03:05:05,false
772,988.51,Stand-alone,2021-03-05,2021-11-03 13:03:11,false
128,141.37,support,2023-08-04,2022-03-29 01:17:19,true
909,12.66,bandwidth-monitored,2020-08-31,,false
,,,2021-04-19,2023-08-04 16:28:06,false
947,,Graphic Interface,2022-01-05,2020-10-01 20:14:58,false
976,136.33,hub,2021-11-12,2021-01-02 20:06:38,false
945,380.05,Universal,2021-03-09,2021-04-24 22:05:06,true
872,559.5,Object-based,2022-04-08,2023-03-25 04:58:13,true
,188.68,,2021-08-11,2021-08-29 04:43:13,true
551,834.4,zero defect,2021-12-24,2021-05-27 19:27:57,true
366,494.26,initiative,2021-11-22,2021-06-17 03:59:10,true
446,826.23,motivating,2020-11-10,2021-08-24 23:50:53,false
961,312.46,definition,2021-07-04,2022-07-15 08:16:50,false
839,815.24,,2021-11-09,2023-04-23 14:21:36,false
786,112.29,,2020-09-11,2020-11-29 13:53:50,true
927,207.61,,2022-01-25,2022-12-17 00:52:14,
,455.92,Intuitive,2020-10-01,2021-12-23 23:55:08,false
882,727.61,Graphical User Interface,2023-04-18,2021-02-25 23:33:07,true
418,361.0,bifurcated,2020-09-01,2021-10-03 03:27:00,false
671,699.49,actuating,2022-02-20,2021-12-26 23:12:00,
342,781.66,Cross-group,2020-08-17,2022-07-30 08:49:56,true
458,386.37,Switchable,2021-08-21,2023-04-18 16:58:24,false
299,638.77,array,2023-07-31,2022-04-19 10:05:12,false
161,995.09,,2021-07-29,2021-11-19 08:46:26,true
307,87.28,hybrid,2022-10-01,2022-10-02 10:32:04,true
381,364.86,,2022-06-16,2021-10-30 04:06:49,false
,214.9,,2022-01-20,2021-07-08 15:53:50,true
684,634.54,zero administration,2021-09-02,2021-01-11 01:57:02,false
130,649.14,conglomeration,2021-08-12,2023-08-05 12:14:56,false
733,,scalable,2021-02-21,2020-09-25 23:50:23,true
714,207.38,,2022-11-10,2022-02-01 06:27:06,
552,548.44,Open-source,2021-04-22,2020-10-27 06:09:55,true
,766.26,Extended,2022-05-10,2021-08-04 22:51:34,true
475,907.67,matrices,2021-08-27,2021-12-09 15:00:04,true
205,786.25,local area network,2021-11-06,,true
653,,Synergized,2023-05-06,2022-10-09 06:24:59,true
370,692.01,Monitored,2021-07-25,,true
521,464.77,systemic,2022-10-27,2022-10-26 09:37:42,false
249,441.33,,2021-12-22,2021-01-20 08:30:58,true
,41.6,frame,2022-07-04,2022-09-10 09:09:15,
290,464.02,,2021-09-04,2022-03-24 01:16:43,true
166,401.75,forecast,2021-05-06,2023-05-15 16:16:13,false
440,181.72,Inverse,2023-06-30,2021-05-10 21:47:21,true
665,159.03,non-volatile,2021-05-28,2022-07-15 06:57:10,
,695.3,,2021-04-08,2022-04-29 01:09:31,false
308,379.82,regional,2023-02-24,2022-10-17 05:20:28,true
502,469.36,optimizing,2022-01-14,2021-10-01 20:16:23,true
39,933.24,hierarchy,2021-11-25,2022-10-25 07:06:13,true
95,137.11,123,2021-02-23,2021-05-18 21:28:42,true
406,990.72,Persevering,2022-05-24,,true
243,313.95,well-modulated,2022-10-19,2021-07-28 09:23:43,
641,844.76,,2022-09-14,2020-09-11 23:49:17,true
221,567.88,,2022-11-13,2021-05-21 21:48:38,true
650,839.46,client-driven,2021-04-12,2022-05-16 19:07:49,true
525,11.56,,2021-02-15,2022-08-15 22:24:08,true
746,738.63,paradigm,2022-07-31,2022-09-21 01:44:23,false
277,821.37,system engine,2023-05-11,2021-10-28 03:03:19,false
544,,,2022-09-09,2021-04-03 15:42:46,false
920,129.83,content-based,2023-03-15,2022-05-17 01:27:00,true
670,541.56,Virtual,2020-12-13,2021-03-21 10:12:06,true
264,591.23,extranet,2023-01-02,2021-09-20 08:50:26,true
165,,Multi-tiered,2022-04-09,2023-07-07 01:43:28,true
992,197.1,encryption,2022-02-08,2023-07-21 18:44:17,true
509,127.28,global,2022-07-27,2022-12-16 06:21:27,false
117,516.12,,2022-07-09,2020-10-14 05:12:25,
82,212.6,Inverse,2021-03-17,2021-03-01 01:37:10,
,929.31,,2021-10-03,2022-08-14 03:10:50,true
324,,Self-enabling,2023-03-20,2021-03-17 15:21:47,
402,155.22,scalable,,2021-08-09 15:34:35,false
53,131.92,database,2022-05-24,2021-12-31 03:37:00,false
781,447.09,,2022-09-18,2023-06-29 02:34:23,true
802,663.83,asymmetric,2021-04-15,2023-01-17 14:34:34,false
501,354.45,,2022-12-22,2020-11-14 20:46:35,false
785,925.95,customer loyalty,2022-02-24,2021-09-24 13:48:56,false
672,37.08,methodology,2021-01-15,2020-09-03 05:31:07,true
689,292.78,Ergonomic,2021-09-18,2022-06-28 00:35:32,true
25,672.63,matrix,2022-08-07,2022-10-16 07:46:58,true
,599.51,cohesive,2020-08-27,2020-10-10 06:53:16,false
421,786.01,project,2023-03-31,2023-02-13 13:17:24,true
662,750.59,empowering,2022-11-25,2020-08-23 13:22:47,true
432,856.63,fresh-thinking,2023-07-29,2022-01-01 06:18:27,true
827,692.22,bandwidth-monitored,2023-03-20,2020-10-08 19:13:37,false
533,944.3,methodology,2023-05-14,2021-05-04 15:17:39,false
237,408.53,client-server,2023-03-06,2022-03-03 01:13:56,false
768,,24/7,2021-10-10,2022-04-05 16:39:48,true
225,981.28,,2020-12-29,2021-03-07 21:51:56,true
678,883.79,dedicated,2022-12-12,2023-04-22 18:53:53,false
714,,methodology,2022-08-30,2021-07-26 12:20:33,false
907,644.73,service-desk,2021-12-23,,false
,182.57,Virtual,2023-04-26,2023-02-13 15:18:24,false
462,828.14,moratorium,2021-09-02,2020-08-28 10:07:06,true
,831.33,,2021-04-24,2021-12-11 06:59:59,true
528,642.55,web-enabled,2022-06-23,2022-12-06 11:36:54,true
386,207.2,,,2021-06-07 01:44:03,true
374,339.79,orchestration,2022-01-03,2020-12-19 01:41:59,true
567,840.68,,2021-10-12,2020-12-19 10:30:31,true
744,,algorithm,2022-11-09,2021-11-12 10:06:03,true
440,314.96,Configurable,2023-02-03,2021-09-18 11:43:38,false
,801.63,Ameliorated,2021-12-26,2021-07-26 00:02:53,true
595,765.18,parallelism,2023-07-06,,
514,366.57,Innovative,2022-03-13,2021-01-21 19:36:31,
937,481.78,bi-directional,,,true
344,129.09,bifurcated,2022-05-11,,true
381,949.72,,2022-10-23,2020-10-11 00:08:57,
611,,bottom-line,2022-04-05,2021-03-01 03:57:38,false
110,412.24,neural-net,2022-07-07,2023-05-26 10:26:04,false
317,444.01,,2022-05-29,2022-07-22 22:14:47,true
429,523.18,Expanded,2021-07-31,2022-07-26 10:47:46,false
741,520.75,intangible,2023-01-24,2022-04-04 22:58:25,true
31,187.22,bandwidth-monitored,2021-03-09,2023-07-24 21:35:16,true
,184.95,,2023-02-09,2020-11-27 09:11:46,true
175,759.67,Multi-layered,2021-09-18,2022-11-22 11:19:38,false
670,228.56,orchestration,2023-01-21,2022-03-02 01:09:36,true
743,780.75,Versatile,2023-06-23,2023-02-07 14:03:03,false
369,706.23,,2021-06-16,2021-02-02 19:14:37,true
293,380.8,Expanded,2022-11-11,2021-02-26 12:21:45,true
880,524.66,Optimized,,2020-10-30 07:08:47,false
193,17.72,zero administration,2022-01-05,2021-10-03 05:20:32,false
654,918.86,groupware,2022-10-22,2021-12-10 02:37:16,false
283,269.7,multi-tasking,2023-01-02,2022-01-24 14:28:14,true
609,90.72,ability,2022-01-30,2020-11-06 15:07:00,true
239,620.33,artificial 👺,2022-08-04,2022-05-07 01:45:44,false
926,269.02,Enterprise-wide,2023-07-17,2022-05-24 20:45:07,true
836,329.36,support,2023-04-26,2023-01-31 07:57:49,false
768,,Enterprise-wide,2021-10-30,2022-04-20 21:31:12,false
,254.25,bottom-line,2020-11-04,2022-12-11 10:58:04,true
608,,open architecture,2022-12-18,2022-03-29 07:29:20,false
337,553.09,superstructure,2020-10-24,2023-01-10 15:43:57,false
309,136.94,function,2021-07-11,2022-02-20 06:24:18,true
,,Self-enabling,2021-05-11,2022-03-24 06:39:37,false
171,885.86,,2022-10-21,2022-02-23 12:25:53,
498,20.9,system-worthy,2023-04-14,2022-07-14 16:44:31,false
null,119.31,Profound,2022-10-10,2020-10-11 22:31:15,true
474,619.35,tertiary,2021-09-04,2021-12-16 05:10:43,true
643,273.35,,2023-07-13,2021-11-03 19:49:55,false
348,812.14,framework,2021-08-19,2023-07-05 19:39:47,
584,884.49,project,2023-08-12,2023-01-25 00:36:12,false
297,543.14,frame,2020-12-11,,true
469,288.7,,2020-12-15,2022-01-04 08:39:15,false
938,734.13,knowledge base,2021-11-17,2021-04-15 05:30:07,false
347,526.38,,2022-08-17,2020-08-17 08:56:51,true
,928.51,Graphic Interface,2022-07-15,2023-08-10 14:32:55,
201,970.55,Managed,2021-05-05,2022-12-13 17:49:41,false
366,496.9,Automated,2021-11-04,2020-12-02 01:45:51,
516,482.64,Networked,,2022-10-29 00:47:50,true
829,743.17,core,2023-04-04,2021-12-15 14:23:13,
,115.45,well-modulated,2021-04-06,2021-01-01 09:08:28,true
250,170.52,Ameliorated,2022-02-19,2022-05-20 08:51:37,false
598,,Distributed,2022-06-20,2022-01-07 18:23:02,
413,489.64,,2023-08-08,2020-10-28 13:21:11,false
678,303.58,encoding,2023-05-24,2022-02-24 20:43:08,true
490,94.44,,2022-07-10,2022-03-26 02:54:14,false
584,317.61,application,2020-10-31,2022-04-08 10:05:57,true
803,140.24,paradigm,2022-08-09,2021-08-26 19:09:12,true
183,900.18,support,2021-08-24,2022-06-23 18:57:25,false
320,612.31,info-mediaries,2022-08-24,2022-04-24 08:17:55,false
829,265.3,human-resource,,2021-02-06 19:37:57,true
211,398.27,,2020-10-05,2021-02-22 17:00:32,true
876,249.33,,2023-07-20,2021-01-25 20:58:53,false
56,382.15,incremental,2023-03-10,2022-12-06 15:11:00,false
549,,,2022-12-12,2022-04-22 00:03:42,false
218,414.32,,2023-06-13,2022-02-03 19:51:03,true
163,,complexity,2021-12-01,2021-07-10 15:23:13,false
362,,Organized,2023-02-01,2023-03-10 21:01:52,false
717,7.88,hybrid,2022-02-11,2021-10-10 12:51:12,false
845,,access,2021-03-23,2022-04-08 03:09:39,
269,241.14,forecast,2022-08-25,2020-08-21 08:44:49,false
643,949.72,internet solution,2021-02-09,2021-06-08 05:34:54,true
391,445.66,Balanced,2020-11-24,,true
883,193.9,definition,2021-02-08,2022-06-23 17:56:21,true
,400.03,Self-enabling,2023-04-02,,false
763,518.72,Horizontal,2021-03-24,2021-01-03 01:27:34,false
,63.06,collaboration,2021-04-18,2020-09-22 06:04:57,true
205,940.29,explicit,2023-01-28,2021-02-02 01:29:00,false
443,,product,2022-11-28,2020-10-02 21:33:49,true
468,492.18,,2021-05-06,2023-07-17 19:48:09,false
546,364.0,encryption,2022-10-26,2022-11-27 12:37:25,false
429,47.33,Diverse,2021-09-07,2020-10-24 17:38:18,false
274,112.3,benchmark,2023-07-27,2020-10-25 06:00:38,false
688,246.6,discrete,2021-04-09,2020-10-07 15:44:50,false
146,901.07,product,2022-07-14,2022-05-17 12:25:56,false
,314.77,project,2022-08-29,2021-12-23 23:10:14,false
752,801.27,system engine,2022-10-09,2022-01-07 11:26:06,false
,702.44,multimedia,2020-09-12,2020-12-30 04:50:03,true
415,688.99,knowledge user,2022-09-24,2021-10-20 13:43:23,true
386,843.02,,2020-09-02,2021-06-30 03:07:47,
702,898.18,,2021-09-13,2021-06-16 23:34:08,true
955,990.43,ability,2020-08-22,2021-06-23 18:16:54,true
724,71.11,,2023-01-18,2020-11-28 15:09:50,true
477,999.27,,2021-08-20,2021-05-29 15:44:09,false
537,15.3,standardization,2023-01-18,2021-04-29 13:43:07,true
423,730.43,extranet,2020-09-03,2021-10-26 03:36:03,false
467,633.97,model,2022-12-11,2022-12-30 15:44:07,
307,663.65,array,2023-03-29,2020-10-04 20:15:51,true
434,831.41,Graphical User Interface,2021-07-11,2021-08-17 09:53:20,false
208,391.07,Organized,2022-11-24,2022-07-09 11:39:45,true
899,631.37,support,2020-11-27,2020-11-29 05:23:17,false
513,,matrices,2023-03-22,2022-09-03 16:35:59,true
342,,,2021-05-17,2022-08-24 10:45:50,false
574,72.27,hardware,2022-05-25,2021-07-22 05:55:24,true
354,502.63,system engine,2022-08-08,2021-01-27 01:05:55,
550,151.45,bifurcated,2023-06-04,2020-12-10 23:00:53,👺
329,,analyzing,2020-12-02,2020-09-30 22:57:46,
289,576.61,next generation,2023-06-15,2020-10-13 07:50:08,false
810,55.53,asymmetric,2022-03-15,2021-06-28 09:13:51,false
37,278.36,,2022-02-06,2021-02-18 07:34:10,false
137,613.3,optimizing,2022-09-08,2023-02-25 15:11:35,true
828,549.69,,2021-02-24,2021-03-02 06:49:05,false
450,826.83,Enterprise-wide,2021-06-29,2022-01-11 08:58:43,false
489,903.34,Monitored,2020-11-24,2021-11-30 01:16:37,true
,333.05,adapter,2022-07-20,2021-03-02 23:44:37,false
429,,,2022-03-02,2020-12-30 13:38:02,false
,233.44,,2020-08-24,2020-09-25 06:23:54,
819,557.28,array,2022-11-03,2022-08-09 06:55:36,true
986,519.94,internet solution,2021-08-11,2022-10-12 00:08:35,
47,588.9,Grass-roots,2022-01-09,2022-02-04 09:42:14,true
,890.78,,2021-03-29,2021-08-11 03:38:34,
